Rank,Title,Year,IMDb Rating,Votes,Runtime,Certificate,Description,Link,min_age,is_16_plus,inferred_genres,primary_genre
208,The General,1926,8.1,103738,1h 18m,Passed,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through ene...",https://www.imdb.com/title/tt0017925/,,False,"['Romance', 'War']",Romance
209,Mr. Smith Goes to Washington,1939,8.1,127059,2h 9m,Approved,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his c...",https://www.imdb.com/title/tt0031679/,,False,['Crime'],Crime
210,On the Waterfront,1954,8.1,174046,1h 48m,Approved,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate&apos;s victims.",https://www.imdb.com/title/tt0047296/,,False,"['Action', 'Drama', 'Crime']",Action
211,Logan,2017,8.1,899878,2h 17m,R,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",https://www.imdb.com/title/tt3315342/,17.0,True,"['Drama', 'Sci-Fi']",Drama
212,Rocky,1976,8.1,667435,2h,PG,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,https://www.imdb.com/title/tt0075148/,10.0,False,['Action'],Action
213,Wild Strawberries,1957,8.1,121710,1h 32m,Not Rated,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",https://www.imdb.com/title/tt0050986/,,False,['Drama'],Drama
214,Tokyo Story,1953,8.1,75112,2h 17m,Not Rated,"An old couple visit their children and grandchildren in the city, but receive little attention.",https://www.imdb.com/title/tt0046438/,,False,[],Unknown
215,The Third Man,1949,8.1,191195,1h 44m,Approved,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",https://www.imdb.com/title/tt0041959/,,False,"['War', 'Mystery']",War
216,Spotlight,2015,8.1,522944,2h 9m,R,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",https://www.imdb.com/title/tt1895587/,17.0,True,['Documentary'],Documentary
217,Maharaja,2024,8.4,72542,2h 21m,,"A barber seeks vengeance after his home is burglarized, cryptically telling police his &quot;lakshmi&quot; has been taken, leaving them uncertain if it&apos;s a person or object. His quest to recover the elusive &quot;lakshmi&quot; unfolds.",https://www.imdb.com/title/tt26548265/,,False,['Crime'],Crime
218,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1280530,2h 23m,PG-13,"Blacksmith Will Turner teams up with eccentric pirate &quot;Captain&quot; Jack Sparrow to save Elizabeth Swann, the governor&apos;s daughter and his love, from Jack&apos;s former pirate allies, who are now undead.",https://www.imdb.com/title/tt0325980/,10.0,False,['Romance'],Romance
219,The Terminator,1984,8.1,974155,1h 47m,R,A cyborg assassin from the future attempts to find and kill a young woman who is destined to give birth to a warrior that will lead a resistance to save humankind from extinction.,https://www.imdb.com/title/tt0088247/,17.0,True,"['Action', 'Sci-Fi', 'War']",Action
220,The Big Lebowski,1998,8.1,897230,1h 57m,R,"Jeff &quot;The Dude&quot; Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",https://www.imdb.com/title/tt0118715/,17.0,True,[],Unknown
221,La haine,1995,8.1,215378,1h 38m,Not Rated,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,https://www.imdb.com/title/tt0113247/,,False,[],Unknown
222,The Seventh Seal,1957,8.1,210802,1h 36m,Not Rated,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",https://www.imdb.com/title/tt0050976/,,False,['Drama'],Drama
223,Room,2015,8.1,471209,1h 58m,R,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",https://www.imdb.com/title/tt3170832/,17.0,True,[],Unknown
224,Jai Bhim,2021,8.6,228291,2h 44m,Approved,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",https://www.imdb.com/title/tt15097216/,,False,[],Unknown
225,Hotel Rwanda,2004,8.1,386024,2h 1m,PG-13,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",https://www.imdb.com/title/tt0395169/,10.0,False,['Drama'],Drama
226,Platoon,1986,8.1,460235,2h,R,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",https://www.imdb.com/title/tt0091763/,17.0,True,"['Action', 'War']",Action
227,The Best Years of Our Lives,1946,8.1,75523,2h 50m,Approved,"Three World War II veterans, two of them traumatized or disabled, return home to the American Midwest to discover that they and their families have been irreparably changed.",https://www.imdb.com/title/tt0036868/,,False,['War'],War
